resource_id,service,region,monthly_cost_usd,utilization_pct,cost_tag_present
res-0001,ELB,ap-southeast-2,2982.95,55.1,no
res-0002,CloudFront,eu-west-1,2668.3,35.5,no
res-0003,DynamoDB,ap-southeast-2,864.75,63.0,no
res-0004,S3,eu-west-1,3446.74,39.1,yes
res-0005,CloudFront,eu-west-1,1697.14,70.6,yes
res-0006,EC2,eu-west-1,2498.75,44.9,no
res-0007,CloudFront,ap-southeast-2,2901.82,87.1,yes
res-0008,EKS,us-east-1,2302.84,61.4,no
res-0009,ELB,us-east-1,308.04,91.5,no
res-0010,EC2,ap-southeast-2,76.9,20.3,yes
res-0011,Lambda,eu-west-1,3147.52,95.0,yes
res-0012,EC2,ap-southeast-2,1404.42,55.2,yes
res-0013,EC2,ap-southeast-2,3052.84,30.6,no
res-0014,ELB,us-east-1,2224.47,51.1,no
res-0015,EC2,ap-southeast-2,2080.1,70.5,yes
res-0016,EC2,ap-southeast-2,2050.43,72.0,no
res-0017,CloudFront,ap-southeast-2,2347.4,54.9,yes
res-0018,S3,ap-southeast-2,552.41,7.5,yes
res-0019,S3,us-east-1,1848.53,52.3,yes
res-0020,EC2,ap-southeast-2,634.08,34.5,no
res-0021,EC2,eu-west-1,1211.08,92.3,yes
res-0022,EBS,eu-west-1,1600.96,21.4,yes
res-0023,ELB,eu-west-1,3014.4,19.8,yes
res-0024,ELB,eu-west-1,2324.09,16.9,no
res-0025,CloudFront,eu-west-1,2624.22,76.6,no
res-0026,DynamoDB,us-east-1,3016.62,59.8,yes
res-0027,EC2,us-east-1,2270.16,19.9,yes
res-0028,NAT-Gateway,eu-west-1,3280.46,83.3,yes
res-0029,EKS,eu-west-1,2438.68,91.8,yes
res-0030,ELB,eu-west-1,3204.08,24.0,no
res-0031,S3,eu-west-1,2916.48,33.9,no
res-0032,EKS,eu-west-1,2216.44,57.3,yes
res-0033,RDS,us-east-1,3607.83,48.9,yes
res-0034,EBS,us-east-1,2803.05,30.0,yes
res-0035,Lambda,eu-west-1,2249.19,88.4,yes
res-0036,S3,ap-southeast-2,3597.73,90.4,yes
res-0037,ELB,ap-southeast-2,2707.56,61.6,yes
res-0038,EC2,us-east-1,626.42,92.9,no
res-0039,ELB,eu-west-1,3908.39,70.4,yes
res-0040,Lambda,us-east-1,999.42,22.7,yes
